!!SBtab
!QuantityType	!KOnumber	!Gene	!Value
concentration of enzyme	ko02355	FusA	17576.3333
concentration of enzyme	ko02355	TufA	62590.3333
concentration of enzyme	ko02433	GatA	957.6667
concentration of enzyme	ko02433	GatB	2679.3333
concentration of enzyme	ko02469	GyrB	320.6667
concentration of enzyme	ko02766	PtsI	4755.6667
concentration of enzyme	ko03367	DltA	879
concentration of enzyme	ko03386	AhpC	58257.3333
concentration of enzyme	ko03386	Tpx	13736.6667
concentration of enzyme	ko03517	NadA	667.6667
concentration of enzyme	ko03783	DeoD	2857.6667
concentration of enzyme	ko03800	YhfJ	321.3333
concentration of enzyme	ko03823	YwnH	491.6667
concentration of enzyme	ko04566	LysS	768.3333
concentration of enzyme	ko07173	LuxS	1989.3333
concentration of enzyme	ko07305	YppQ	307
concentration of enzyme	ko08093	HxlA	3720.3333
concentration of enzyme	ko09458	FabF	3955.6667
concentration of enzyme	ko09698	GltX	1979
concentration of enzyme	ko09903	PyrH	2267.3333
