!!SBtab TableType=Layout
!Element	!PositionX	!PositionY
C00577_+_C00001_+_C00003_<=>_C00258_+_C00080_+_C00004	0.496100	0.523315
C00631_<=>_C00001_+_C00074	0.352007	0.437823
C00631_<=>_C00074_+_C00001	0.461212	0.385428
C00683_<=>_C01213	0.779543	-0.025585
C00725_+_C00004_+_C00080_<=>_C02147_+_C00003	0.461212	0.385428
C00877_+_C00001_<=>_C01144	0.111254	0.109785
C00894_+_C00001_<=>_C00827	0.843437	0.188731
C00894_+_C00005_<=>_C00100_+_C00006	0.903462	-0.138662
C00989_+_C00002_+_C00010_<=>_C11062_+_C00020_+_C00013	0.292365	-0.111573
C01011_<=>_C00024_+_C00022	0.334982	0.265625
C01013_+_C00010_+_C00002_<=>_C05668_+_C00013_+_C00020	0.903138	0.366214
C01013_+_C00827_<=>_C05668_+_C00256	0.764636	0.335115
C01144_+_C00003_<=>_C00332_+_C00004	0.136021	0.228978
C01182_+_C00011_+_C00001_<=>_2_C00197	0.477062	0.614702
C01213_<=>_C00091	0.705191	0.010042
C02147_+_C00143_+_C00014_<=>_C80069_+_C00101	0.461212	0.385428
C02331_<=>_C00877	0.125185	-0.004764
C03961_<=>_C00036_+_C00014	0.279804	0.173799
C04348_<=>_C00024_+_C00048	0.240954	0.073550
C04442_<=>_C00022_+_C00118	0.432209	0.666200
C05382_+_C00118_<=>_C00117_+_C00231	0.582275	0.788106
C05382_+_C00118_<=>_C00279_+_C00085	0.566723	0.886560
C05668_<=>_C00001_+_C00894	0.903138	0.210867
C05668_<=>_C00894_+_C00001	0.885232	0.210402
C06019_<=>_C00085	0.461212	0.385428
C06027_<=>_C06028_+_C00001	0.101966	-0.082162
C06028_<=>_C18323	0.081843	0.123717
C11062_<=>_C02331_+_C00001	0.176268	-0.075970
C18323_+_C00001_<=>_C01011	0.195048	0.265058
C80069_+_C00011_<=>_C00037_+_C00725	0.461212	0.385428
C00009_+_C00036 <=> C00001_+_C00074_+_C00011	0.350351	0.037483
