!!SBtab TableType='Quantity' TableID='MetaboliteConcentrationData' !Organism='Escherichia coli'
!QuantityType	!Unit	!Compound:Name	!Value	Acetate	Glycerol	GlucoseAnaerobic	!Compound:Identifiers:kegg.compound
%!Condition		Glucose	Acetate	Glycerol	GlucoseAnaerobic	
concentration	mM	UDP-D-glucuronate	0.566	0.188	0.375	NaN	
concentration	mM	ITP	0.205	NaN	NaN	NaN	
concentration	mM	Guanine	0.188	0.00331	0.00331	NaN	
concentration	mM	S-Adenosyl-L-methionine	0.184	0.388	1.1	NaN	
concentration	mM	Flavin adenine dinucleotide oxidized	0.173	0.0493	0.209	NaN	
concentration	mM	2,3-Dihydroxybenzoate	0.138	0.274	0.414	NaN	C00196
concentration	mM	FMN	0.0537	0.0531	0.00274	NaN	C00061
concentration	mM	dGMP	0.0507	NaN	NaN	NaN	
concentration	mM	D-Gluconate	0.0416	NaN	NaN	NaN	
concentration	mM	cAMP	0.0352	0.146	0.083	NaN	
concentration	mM	dCTP	0.0345	NaN	NaN	NaN	
concentration	mM	IDP	0.0238	NaN	NaN	NaN	C00104
concentration	mM	Acetoacetyl-CoA	0.0218	NaN	NaN	NaN	C00332
concentration	mM	dATP	0.0155	0.0685	0.051	NaN	C00131
concentration	mM	Cytosine	0.0141	NaN	NaN	NaN	
concentration	mM	dAMP	0.00884	NaN	NaN	NaN	C00360
concentration	mM	Propanoyl-CoA	0.00532	NaN	NaN	NaN	C00100
concentration	mM	ADPglucose	0.00427	NaN	NaN	NaN	
concentration	mM	Deoxyadenosine	0.00282	NaN	NaN	NaN	C00559
concentration	mM	Cytidine	0.00259	NaN	NaN	NaN	
concentration	mM	Guanosine	0.00162	NaN	NaN	NaN	C00387
concentration	mM	Deoxyguanosine	0.000522	NaN	NaN	NaN	
concentration	mM	D-Methionine	NaN	NaN	NaN	0.091886149	C00855
