!!SBtab TableName='RateConstant' TableType='Quantity'						
!QuantityType	!Value	!Compound	!Compound:Identifiers:kegg.compound	!Reaction	!Reaction:Identifiers:kegg.reaction	!Unit
Michaelis constant	0.919	_3_Phospho_D_glycerate	C00197	PGM_R01518	R01518	mM
Michaelis constant	0.394	D_Glucono_1_5_lactone_6_phosphate	C01236	ZWF_R00835	R00835	mM
Michaelis constant	0.0184	D_Glucono_1_5_lactone_6_phosphate	C01236	GLH_R02035	R02035	mM
Michaelis constant	0.0607	D_Fructose_6_phosphate	C00085	PGI_R02740	R02740	mM
Michaelis constant	0.00712	D_Fructose_6_phosphate	C00085	PFK_R04779	R04779	mM
Michaelis constant	0.662	D_Fructose_6_phosphate	C00085	TAL_R08575	R08575	mM
Michaelis constant	6.99	D_Fructose_6_phosphate	C00085	TXT_R01067	R01067	mM
Michaelis constant	1.08	D_Fructose_6_phosphate	C00085	FBP_R00762	R00762	mM
Michaelis constant	0.0282	_2_Phospho_D_glycerate	C00631	PGM_R01518	R01518	mM
Michaelis constant	0.248	_2_Phospho_D_glycerate	C00631	PGH_R00658	R00658	mM
Michaelis constant	1.68	Succinate	C00042	SCS_R00405	R00405	mM
Michaelis constant	0.1	Succinate	C00042	SDH_R02164	R02164	mM
Michaelis constant	3.37	Sedoheptulose_7_phosphate	C05382	TXT_R01641	R01641	mM
Michaelis constant	0.198	Sedoheptulose_7_phosphate	C05382	TAL_R08575	R08575	mM
substrate catalytic rate constant	350			PTS_RPTSsy	RPTSsy	1/s
substrate catalytic rate constant	350			PGI_R02740	R02740	1/s
substrate catalytic rate constant	350			PFK_R04779	R04779	1/s
substrate catalytic rate constant	350			ALD_R01070	R01070	1/s
substrate catalytic rate constant	2e+03			TIM_R01015	R01015	1/s
substrate catalytic rate constant	268			GAP_R01061	R01061	1/s
substrate catalytic rate constant	654			PGK_R01512	R01512	1/s
substrate catalytic rate constant	530			PGM_R01518	R01518	1/s
substrate catalytic rate constant	78			PGH_R00658	R00658	1/s
substrate catalytic rate constant	232			PYK_R00200	R00200	1/s
substrate catalytic rate constant	50			PDH_R00209	R00209	1/s
substrate catalytic rate constant	174			ZWF_R00835	R00835	1/s
substrate catalytic rate constant	1.9e+03			GLH_R02035	R02035	1/s
substrate catalytic rate constant	350			PGD_R01528	R01528	1/s
substrate catalytic rate constant	1.41e+03			RPI_R01056	R01056	1/s
substrate catalytic rate constant	1.3e+03			RPE_R01529	R01529	1/s
substrate catalytic rate constant	50			TXT_R01641	R01641	1/s
substrate catalytic rate constant	50			TAL_R08575	R08575	1/s
substrate catalytic rate constant	69			TXT_R01067	R01067	1/s
substrate catalytic rate constant	350			FBP_R00762	R00762	1/s
substrate catalytic rate constant	67.1			CSN_R00351	R00351	1/s
substrate catalytic rate constant	67.1			ACN_R00351	R00351	1/s
substrate catalytic rate constant	50			ACN_R01900	R01900	1/s
substrate catalytic rate constant	527			ICD_R00709	R00709	1/s
substrate catalytic rate constant	363			KGD_R08549	R08549	1/s
substrate catalytic rate constant	288			SCS_R00405	R00405	1/s
substrate catalytic rate constant	245			SDH_R02164	R02164	1/s
substrate catalytic rate constant	509			FUM_R01082	R01082	1/s
substrate catalytic rate constant	52.2			MDH_R00342	R00342	1/s
product catalytic rate constant	324			PTS_RPTSsy	RPTSsy	1/s
product catalytic rate constant	353			PGI_R02740	R02740	1/s
product catalytic rate constant	334			PFK_R04779	R04779	1/s
product catalytic rate constant	350			ALD_R01070	R01070	1/s
product catalytic rate constant	1.27e+03			TIM_R01015	R01015	1/s
product catalytic rate constant	161			GAP_R01061	R01061	1/s
product catalytic rate constant	604			PGK_R01512	R01512	1/s
